Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,Speed,Omega
13.460111,1,1,7.259254,2.740746,-6.355835,0.000000,0.317792
13.480748,1,1,7.363568,2.636432,-6.438187,0.000000,0.321909
13.500172,1,1,7.274591,2.725409,-7.194885,0.000000,0.359744
13.520211,1,1,7.274591,2.725409,-7.194885,0.000000,0.359744
13.540124,1,1,7.234462,2.765538,-7.381889,0.000000,0.369094
13.560130,1,1,7.261791,2.738209,-6.344856,0.000000,0.317243
13.580168,1,1,7.284677,2.715323,-6.418144,0.000000,0.320907
13.600156,1,1,7.226932,2.773068,-5.613106,0.000000,0.280655
13.620107,1,1,7.225594,2.774406,-4.812561,0.000000,0.240628
13.640093,1,1,7.181834,2.818166,-4.570908,0.000000,0.228545
13.660230,1,1,7.062594,2.937406,-4.035370,0.000000,0.201768
13.680129,1,1,7.089069,2.910931,-3.897003,0.000000,0.194850
13.700124,1,1,7.109146,2.890854,-3.452194,0.000000,0.172610
13.720087,1,1,7.158404,2.841596,-3.488525,0.000000,0.174426
13.740359,1,1,7.200636,2.799364,-3.176155,0.000000,0.158808
13.760141,1,1,7.200636,2.799364,-3.176155,0.000000,0.158808
13.780114,1,1,7.135588,2.864412,-3.492775,0.000000,0.174639
13.800148,1,1,7.099320,2.900680,-3.277054,0.000000,0.163853
13.820097,1,1,7.062807,2.937193,-3.284096,0.000000,0.164205
13.840067,1,1,7.062807,2.937193,-3.284096,0.000000,0.164205
13.860127,1,1,7.137067,2.862933,-3.445938,0.000000,0.172297
13.880137,1,1,7.147569,2.852431,-3.443596,0.000000,0.172180
13.900149,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
13.920080,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
13.940122,1,1,7.181834,2.818166,-3.550652,0.000000,0.177533
13.960100,1,1,7.181834,2.818166,-3.550652,0.000000,0.177533
13.980117,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.000089,1,1,7.182672,2.817328,-3.451309,0.000000,0.172565
14.020153,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.040054,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.060109,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.080148,1,1,7.182672,2.817328,-3.451309,0.000000,0.172565
14.100151,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.120086,1,1,7.184513,2.815487,-3.550056,0.000000,0.177503
14.140114,1,1,7.181834,2.818166,-3.550652,0.000000,0.177533
14.160330,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.180093,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.200118,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.220090,1,1,7.181834,2.818166,-3.550652,0.000000,0.177533
14.240141,1,1,7.181834,2.818166,-3.550652,0.000000,0.177533
